Point_ID,Mean_ID,Count_ID,Mean_Score,Count_Score
DN1,310952220.4,181999,0.094199859,181999
DN2,322692286.4,159768,0.095923149,159768
DN3,320425784.6,121465,0.097794479,121465
DN4,302467169.2,124704,0.099684372,124704
DN5,275595081.9,96554,0.097397622,96554
DN6,345967967.7,87686,0.096526276,87686
DN7,345967967.7,87686,0.096526276,87686
DN8,345967967.7,87686,0.096526276,87686
DN9,345967967.7,87686,0.096526276,87686
DN10,345967967.7,87686,0.096526276,87686
DN11,345967967.7,87686,0.096526276,87686
DN12,345967967.7,87686,0.096526276,87686
DN13,345967967.7,87686,0.096526276,87686
DN14,345967967.7,87686,0.096526276,87686
DN15,345967967.7,87686,0.096526276,87686
DN16,345967967.7,87686,0.096526276,87686
DN17,345967967.7,87686,0.096526276,87686
DN18,345967967.7,87686,0.096526276,87686
DN19,345967967.7,87686,0.096526276,87686
DN20,345967967.7,87686,0.096526276,87686
DN21,345967967.7,87686,0.096526276,87686
DN22,345967967.7,87686,0.096526276,87686
DN23,345967967.7,87686,0.096526276,87686
DN24,345967967.7,87686,0.096526276,87686
DN25,345967967.7,87686,0.096526276,87686
DN26,345967967.7,87686,0.096526276,87686
DN27,345967967.7,87686,0.096526276,87686
DN28,345967967.7,87686,0.096526276,87686
DN29,345967967.7,87686,0.096526276,87686
DN30,345967967.7,87686,0.096526276,87686
DN31,345967967.7,87686,0.096526276,87686
DN32,345967967.7,87686,0.096526276,87686
DN33,345967967.7,87686,0.096526276,87686
DN34,345967967.7,87686,0.096526276,87686
DN35,345967967.7,87686,0.096526276,87686
DN36,345967967.7,87686,0.096526276,87686
DN37,345967967.7,87686,0.096526276,87686
DN38,345967967.7,87686,0.096526276,87686
DN39,345967967.7,87686,0.096526276,87686
DN40,345967967.7,87686,0.096526276,87686
DN41,345967967.7,87686,0.096526276,87686
DN42,345967967.7,87686,0.096526276,87686
DN43,345967967.7,87686,0.096526276,87686
DN44,345967967.7,87686,0.096526276,87686
DN45,345967967.7,87686,0.096526276,87686
DN46,345967967.7,87686,0.096526276,87686
DN47,345967967.7,87686,0.096526276,87686
DN48,345967967.7,87686,0.096526276,87686
DN49,345967967.7,87686,0.096526276,87686
DN50,345967967.7,87686,0.096526276,87686
DN51,345967967.7,87686,0.096526276,87686
DN52,345967967.7,87686,0.096526276,87686
DN53,345967967.7,87686,0.096526276,87686
DN54,345967967.7,87686,0.096526276,87686
DN55,345967967.7,87686,0.096526276,87686
DN56,345967967.7,87686,0.096526276,87686
DN57,345967967.7,87686,0.096526276,87686
DN58,345967967.7,87686,0.096526276,87686
DN59,345967967.7,87686,0.096526276,87686
DN60,345967967.7,87686,0.096526276,87686
DN61,345967967.7,87686,0.096526276,87686
DN62,345967967.7,87686,0.096526276,87686
DN63,345967967.7,87686,0.096526276,87686
DN64,345967967.7,87686,0.096526276,87686
DN65,345967967.7,87686,0.096526276,87686
DN66,345967967.7,87686,0.096526276,87686
DN67,345967967.7,87686,0.096526276,87686
DN68,345967967.7,87686,0.096526276,87686
DN69,345967967.7,87686,0.096526276,87686
DN70,345967967.7,87686,0.096526276,87686
DN71,345967967.7,87686,0.096526276,87686
DN72,345967967.7,87686,0.096526276,87686
DN73,345967967.7,87686,0.096526276,87686
DN74,345967967.7,87686,0.096526276,87686
DN75,345967967.7,87686,0.096526276,87686
DN76,345967967.7,87686,0.096526276,87686
DN77,345967967.7,87686,0.096526276,87686
DN78,345967967.7,87686,0.096526276,87686
DN79,345967967.7,87686,0.096526276,87686
DN80,345967967.7,87686,0.096526276,87686
DN81,345967967.7,87686,0.096526276,87686
DN82,345967967.7,87686,0.096526276,87686
DN83,345967967.7,87686,0.096526276,87686
DN84,345967967.7,87686,0.096526276,87686
DN85,345967967.7,87686,0.096526276,87686
DN86,345967967.7,87686,0.096526276,87686
DN87,345967967.7,87686,0.096526276,87686
DN88,345967967.7,87686,0.096526276,87686
DN89,345967967.7,87686,0.096526276,87686
DN90,345967967.7,87686,0.096526276,87686
DN91,345967967.7,87686,0.096526276,87686
DN92,345967967.7,87686,0.096526276,87686
DN93,345967967.7,87686,0.096526276,87686
DN94,345967967.7,87686,0.096526276,87686
DN95,345967967.7,87686,0.096526276,87686
DN96,345967967.7,87686,0.096526276,87686
DN97,345967967.7,87686,0.096526276,87686
DN98,345967967.7,87686,0.096526276,87686
DN99,345967967.7,87686,0.096526276,87686
DN100,345967967.7,87686,0.096526276,87686
DN101,345967967.7,87686,0.096526276,87686
DN102,345967967.7,87686,0.096526276,87686
DN103,345967967.7,87686,0.096526276,87686
DN104,345967967.7,87686,0.096526276,87686
DN105,345967967.7,87686,0.096526276,87686
DN106,345967967.7,87686,0.096526276,87686
DN107,345967967.7,87686,0.096526276,87686
DN108,345967967.7,87686,0.096526276,87686
DN109,345967967.7,87686,0.096526276,87686
DN110,345967967.7,87686,0.096526276,87686
DN111,345967967.7,87686,0.096526276,87686
DN112,345967967.7,87686,0.096526276,87686
DN113,345967967.7,87686,0.096526276,87686
DN114,345967967.7,87686,0.096526276,87686
DN115,345967967.7,87686,0.096526276,87686
DN116,345967967.7,87686,0.096526276,87686
DN117,345967967.7,87686,0.096526276,87686
DN118,345967967.7,87686,0.096526276,87686
DN119,345967967.7,87686,0.096526276,87686
DN120,345967967.7,87686,0.096526276,87686
DN121,345967967.7,87686,0.096526276,87686
DN122,345967967.7,87686,0.096526276,87686
DN123,345967967.7,87686,0.096526276,87686
DN124,345967967.7,87686,0.096526276,87686
DN125,345967967.7,87686,0.096526276,87686
DN126,345967967.7,87686,0.096526276,87686
DN127,345967967.7,87686,0.096526276,87686
DN128,345967967.7,87686,0.096526276,87686
DN129,345967967.7,87686,0.096526276,87686
DN130,345967967.7,87686,0.096526276,87686
DN131,345967967.7,87686,0.096526276,87686
DN132,345967967.7,87686,0.096526276,87686
DN133,345967967.7,87686,0.096526276,87686
DN134,345967967.7,87686,0.096526276,87686
DN135,345967967.7,87686,0.096526276,87686
DN136,345967967.7,87686,0.096526276,87686
DN137,345967967.7,87686,0.096526276,87686
DN138,345967967.7,87686,0.096526276,87686
DN139,345967967.7,87686,0.096526276,87686
DN140,345967967.7,87686,0.096526276,87686
DN141,345967967.7,87686,0.096526276,87686
DN142,345967967.7,87686,0.096526276,87686
DN143,345967967.7,87686,0.096526276,87686
DN144,345967967.7,87686,0.096526276,87686
DN145,345967967.7,87686,0.096526276,87686
DN146,345967967.7,87686,0.096526276,87686
DN147,345967967.7,87686,0.096526276,87686
DN148,345967967.7,87686,0.096526276,87686
DN149,345967967.7,87686,0.096526276,87686
DN150,345967967.7,87686,0.096526276,87686
DN151,345967967.7,87686,0.096526276,87686
DN152,345967967.7,87686,0.096526276,87686
DN153,345967967.7,87686,0.096526276,87686
DN154,345967967.7,87686,0.096526276,87686
DN155,345967967.7,87686,0.096526276,87686
DN156,345967967.7,87686,0.096526276,87686
DN157,345967967.7,87686,0.096526276,87686
DN158,345967967.7,87686,0.096526276,87686
DN159,345967967.7,87686,0.096526276,87686
DN160,345967967.7,87686,0.096526276,87686
DN161,345967967.7,87686,0.096526276,87686
DN162,345967967.7,87686,0.096526276,87686
DN163,345967967.7,87686,0.096526276,87686
DN164,345967967.7,87686,0.096526276,87686
DN165,345967967.7,87686,0.096526276,87686
DN166,345967967.7,87686,0.096526276,87686
DN167,345967967.7,87686,0.096526276,87686
DN168,345967967.7,87686,0.096526276,87686
DN169,345967967.7,87686,0.096526276,87686
DN170,345967967.7,87686,0.096526276,87686
DN171,345967967.7,87686,0.096526276,87686
DN172,345967967.7,87686,0.096526276,87686
DN173,345967967.7,87686,0.096526276,87686
DN174,345967967.7,87686,0.096526276,87686
DN175,345967967.7,87686,0.096526276,87686
DN176,345967967.7,87686,0.096526276,87686
DN177,345967967.7,87686,0.096526276,87686
DN178,345967967.7,87686,0.096526276,87686
DN179,345967967.7,87686,0.096526276,87686
DN180,345967967.7,87686,0.096526276,87686
DN181,345967967.7,87686,0.096526276,87686
DN182,345967967.7,87686,0.096526276,87686
DN183,345967967.7,87686,0.096526276,87686
DN184,345967967.7,87686,0.096526276,87686
DN185,345967967.7,87686,0.096526276,87686
DN186,345967967.7,87686,0.096526276,87686
DN187,345967967.7,87686,0.096526276,87686
DN188,345967967.7,87686,0.096526276,87686
DN189,345967967.7,87686,0.096526276,87686
DN190,345967967.7,87686,0.096526276,87686
DN191,345967967.7,87686,0.096526276,87686
DN192,345967967.7,87686,0.096526276,87686
DN193,345967967.7,87686,0.096526276,87686
DN194,345967967.7,87686,0.096526276,87686
DN195,345967967.7,87686,0.096526276,87686
DN196,345967967.7,87686,0.096526276,87686
