"Branch_Code","normal_clid_count","hr_clid_count","lat_1","lon_1","lat_2","lon_2","lat_3","lon_3","lat_4","lon_4"
"potential_6",35,3,47.5490728952094,34.4008986352354,47.5490728952094,34.4098986352354,47.5580728952094,34.4098986352354,47.5580728952094,34.4008986352354
"potential_7",31,3,47.5490566562097,34.4022272602001,47.5490566562097,34.4112272602001,47.5580566562097,34.4112272602001,47.5580566562097,34.4022272602001
"potential_13",44,3,47.5499886397023,34.3995939612188,47.5499886397023,34.4085939612188,47.5589886397023,34.4085939612188,47.5589886397023,34.3995939612188
"potential_14",38,3,47.5499724155813,34.400922610068,47.5499724155813,34.409922610068,47.5589724155813,34.409922610068,47.5589724155813,34.400922610068
"potential_15",34,2,47.5499561760731,34.4022512577524,47.5499561760731,34.4112512577524,47.5589561760731,34.4112512577524,47.5589561760731,34.4022512577524
"potential_20",61,4,47.550936741992004,34.3956318928066,47.550936741992004,34.4046318928066,47.559936741992004,34.4046318928066,47.559936741992004,34.3956318928066
"potential_21",64,6,47.5509205635262,34.3969605678647,47.5509205635262,34.4059605678647,47.5599205635262,34.4059605678647,47.5599205635262,34.3969605678647
"potential_22",65,6,47.5509043696726,34.3982892417612,47.5509043696726,34.4072892417612,47.5599043696726,34.4072892417612,47.5599043696726,34.3982892417612
"potential_23",63,5,47.5508881604312,34.3996179144951,47.5508881604312,34.4086179144951,47.5598881604312,34.4086179144951,47.5598881604312,34.3996179144951
"potential_24",48,5,47.5508719358022,34.4009465860653,47.5508719358022,34.4099465860653,47.5598719358022,34.4099465860653,47.5598719358022,34.4009465860653
"potential_25",43,4,47.5508556957855,34.4022752564706,47.5508556957855,34.4112752564706,47.5598556957855,34.4112752564706,47.5598556957855,34.4022752564706
"potential_31",49,2,47.5518847086788,34.3916696787803,47.5518847086788,34.400669678780304,47.5608847086788,34.400669678780304,47.5608847086788,34.3916696787803
"potential_32",54,2,47.551868575871296,34.392998380038904,47.551868575871296,34.401998380038904,47.5608685758713,34.401998380038904,47.5608685758713,34.392998380038904
"potential_33",70,4,47.5518524276755,34.3943270801392,47.5518524276755,34.4033270801392,47.5608524276755,34.4033270801392,47.5608524276755,34.3943270801392
"potential_34",79,6,47.5518362640914,34.39565577908,47.5518362640914,34.40465577908,47.5608362640914,34.40465577908,47.5608362640914,34.39565577908
"potential_35",84,8,47.5518200851189,34.396984476860396,47.5518200851189,34.4059844768604,47.5608200851189,34.4059844768604,47.5608200851189,34.396984476860396
"potential_36",84,8,47.5518038907582,34.3983131734792,47.5518038907582,34.4073131734792,47.5608038907582,34.4073131734792,47.5608038907582,34.3983131734792
"potential_37",82,7,47.5517876810093,34.3996418689352,47.5517876810093,34.4086418689352,47.5607876810093,34.4086418689352,47.5607876810093,34.3996418689352
"potential_38",63,7,47.5517714558722,34.4009705632275,47.5517714558722,34.4099705632275,47.5607714558722,34.4099705632275,47.5607714558722,34.4009705632275
"potential_39",58,6,47.5517552153469,34.4022992563548,47.5517552153469,34.4112992563548,47.5607552153469,34.4112992563548,47.5607552153469,34.4022992563548
"potential_40",43,5,47.5517389594335,34.4036279483161,47.5517389594335,34.4126279483161,47.5607389594335,34.4126279483161,47.5607389594335,34.4036279483161
"potential_50",38,2,47.5528003500681,34.3903647729042,47.5528003500681,34.3993647729042,47.5618003500681,34.3993647729042,47.5618003500681,34.3903647729042
"potential_51",55,2,47.5527842321443,34.3916934980437,47.5527842321443,34.4006934980437,47.5617842321443,34.4006934980437,47.5617842321443,34.3916934980437
"potential_52",62,2,47.5527680988316,34.3930222220259,47.5527680988316,34.4020222220259,47.5617680988316,34.4020222220259,47.5617680988316,34.3930222220259
"potential_53",81,4,47.5527519501301,34.3943509448497,47.5527519501301,34.4033509448497,47.5617519501301,34.4033509448497,47.5617519501301,34.3943509448497
"potential_54",85,6,47.5527357860398,34.395679666514,47.5527357860398,34.404679666514,47.5617357860398,34.404679666514,47.5617357860398,34.395679666514
"potential_55",90,8,47.5527196065607,34.3970083870178,47.5527196065607,34.4060083870178,47.5617196065607,34.4060083870178,47.5617196065607,34.3970083870178
"potential_56",94,8,47.5527034116929,34.398337106359904,47.5527034116929,34.407337106359904,47.5617034116929,34.407337106359904,47.5617034116929,34.398337106359904
"potential_57",97,7,47.5526872014364,34.3996658245392,47.5526872014364,34.4086658245392,47.5616872014364,34.4086658245392,47.5616872014364,34.3996658245392
"potential_58",84,7,47.5526709757912,34.4009945415546,47.5526709757912,34.4099945415546,47.5616709757912,34.4099945415546,47.5616709757912,34.4009945415546
"potential_59",77,6,47.5526547347574,34.402323257405,47.5526547347574,34.411323257405,47.5616547347574,34.411323257405,47.5616547347574,34.402323257405
"potential_60",58,5,47.5526384783349,34.4036519720893,47.5526384783349,34.4126519720893,47.5616384783349,34.4126519720893,47.5616384783349,34.4036519720893
